Region,Austin music festival
Texas,100
Oklahoma,36
District of Columbia,32
Colorado,28
Louisiana,28
New Mexico,24
Arkansas,24
Idaho,24
Iowa,20
Kansas,20
Nebraska,20
Alaska,20
Montana,20
Oregon,20
Minnesota,20
Tennessee,16
South Dakota,16
Vermont,16
Washington,16
Utah,16
Nevada,16
Missouri,16
Illinois,16
Mississippi,16
Hawaii,16
Arizona,16
Massachusetts,16
South Carolina,16
North Carolina,16
Maine,12
Virginia,12
Alabama,12
Georgia,12
Delaware,12
Florida,12
California,12
Wisconsin,12
Connecticut,12
New York,12
Indiana,12
Kentucky,12
Ohio,12
Michigan,12
Maryland,12
Pennsylvania,8
New Jersey,8
North Dakota,8
New Hampshire,8
West Virginia,8
Rhode Island,4
Wyoming,0
