Region,Cedar Point
Ohio,100
Michigan,64
Indiana,26
Iowa,17
West Virginia,17
Pennsylvania,12
Kentucky,10
Maryland,10
North Carolina,8
Illinois,8
Tennessee,5
Virginia,5
Colorado,4
New York,4
Wisconsin,4
Missouri,3
Minnesota,3
Utah,3
Alabama,3
Nebraska,3
Florida,3
District of Columbia,3
Delaware,3
Oklahoma,3
Kansas,3
South Carolina,3
New Hampshire,2
Arkansas,2
Rhode Island,2
Georgia,2
New Jersey,2
Texas,2
Arizona,2
Connecticut,2
Vermont,2
Maine,2
Massachusetts,2
Wyoming,2
Mississippi,2
North Dakota,2
South Dakota,2
Nevada,1
Alaska,1
Idaho,1
New Mexico,1
Louisiana,1
Washington,1
Montana,1
Oregon,1
California,1
Hawaii,1
