Region,Coal mining
West Virginia,100
Kentucky,24
Wyoming,21
Pennsylvania,10
North Dakota,10
Virginia,10
Alabama,9
District of Columbia,9
Montana,9
Utah,9
Oklahoma,8
New Mexico,8
Alaska,8
Tennessee,8
Iowa,7
North Carolina,7
Indiana,7
Ohio,7
Kansas,7
Vermont,6
South Dakota,6
Arkansas,6
Colorado,6
Georgia,6
Illinois,6
Maryland,5
Missouri,5
Maine,5
Washington,5
South Carolina,5
Idaho,5
Arizona,5
New Hampshire,5
Texas,5
Oregon,5
Mississippi,4
Nebraska,4
New York,4
Michigan,4
Wisconsin,4
Nevada,4
Minnesota,4
Louisiana,4
Florida,4
Massachusetts,4
New Jersey,4
Delaware,4
California,4
Connecticut,4
Rhode Island,4
Hawaii,3
