Region,cornhuskers
Nebraska,100
South Dakota,17
Iowa,11
Wyoming,8
Kansas,5
Colorado,3
North Dakota,3
Missouri,2
Montana,2
Minnesota,2
Oklahoma,2
Arizona,1
Arkansas,1
Wisconsin,1
Idaho,1
Alaska,1
Indiana,1
Nevada,1
New Mexico,1
Illinois,1
Texas,1
South Carolina,1
Tennessee,1
Oregon,1
Ohio,1
Utah,<1
Michigan,<1
Alabama,<1
Mississippi,<1
West Virginia,<1
Washington,<1
Virginia,<1
Kentucky,<1
Georgia,<1
North Carolina,<1
Louisiana,<1
Florida,<1
Hawaii,<1
Rhode Island,<1
District of Columbia,<1
California,<1
Pennsylvania,<1
Maryland,<1
Delaware,<1
Maine,<1
Connecticut,<1
New Jersey,<1
New Hampshire,<1
Vermont,<1
Massachusetts,<1
New York,<1
