Region,Country music
Tennessee,100
West Virginia,65
Kentucky,57
South Carolina,57
South Dakota,51
Montana,51
Iowa,50
Arkansas,49
Alabama,49
North Dakota,48
Nebraska,47
Oklahoma,46
Missouri,46
Mississippi,46
Ohio,45
Wyoming,45
Kansas,43
North Carolina,43
Vermont,41
Wisconsin,41
Louisiana,41
Indiana,41
Maine,40
New Mexico,38
Idaho,38
Minnesota,37
Pennsylvania,36
Delaware,35
Georgia,35
Virginia,34
Michigan,33
Texas,33
New Hampshire,31
Arizona,31
Oregon,30
Illinois,29
Florida,29
Colorado,29
New Jersey,27
Utah,27
Washington,27
Nevada,26
Massachusetts,26
Alaska,26
Maryland,25
Connecticut,24
Rhode Island,23
Hawaii,22
New York,21
California,20
District of Columbia,14
