Region,Georgia Bulldogs
Georgia,100
South Carolina,21
Alabama,19
Tennessee,14
Florida,10
Mississippi,9
North Carolina,7
Louisiana,5
Arkansas,5
Kentucky,4
Virginia,4
West Virginia,4
Ohio,3
Wyoming,3
Colorado,3
Montana,3
Oklahoma,3
Texas,3
Nebraska,3
Missouri,3
Indiana,3
South Dakota,3
Kansas,3
Pennsylvania,2
North Dakota,2
Iowa,2
Delaware,2
Alaska,2
Maryland,2
New Mexico,2
Michigan,2
Nevada,2
District of Columbia,2
Rhode Island,2
Arizona,2
Illinois,2
New Hampshire,2
Hawaii,2
Idaho,2
Utah,2
New Jersey,2
Maine,1
Vermont,1
Oregon,1
New York,1
Connecticut,1
Wisconsin,1
Massachusetts,1
California,1
Washington,1
Minnesota,1
