Region,Grand Canyon
Arizona,100
Nevada,56
Utah,27
New Mexico,25
Wyoming,20
Colorado,16
Montana,16
Idaho,15
California,13
South Dakota,12
Washington,11
Nebraska,11
Alaska,11
Oregon,11
Iowa,11
Hawaii,11
Oklahoma,11
Pennsylvania,11
Kansas,11
Missouri,10
Arkansas,10
Minnesota,10
Wisconsin,10
North Dakota,10
Georgia,10
Alabama,10
Illinois,10
Texas,9
Louisiana,9
Indiana,9
Tennessee,9
South Carolina,9
Kentucky,9
Mississippi,9
Michigan,8
New Jersey,8
Florida,8
Ohio,8
New Hampshire,8
Delaware,8
Virginia,8
West Virginia,8
Maine,8
North Carolina,8
Maryland,7
District of Columbia,7
New York,7
Connecticut,7
Vermont,7
Massachusetts,7
Rhode Island,6
