Region,Green bay packers
Wisconsin,100
Iowa,21
South Dakota,18
Minnesota,18
North Dakota,16
Illinois,11
Montana,10
Nebraska,9
Michigan,8
Wyoming,8
New Mexico,7
Arizona,7
Idaho,7
Indiana,6
Alaska,6
Mississippi,6
Kansas,6
Missouri,5
Colorado,5
Arkansas,5
Ohio,5
Kentucky,5
South Carolina,5
Tennessee,5
Hawaii,5
Nevada,5
Utah,5
West Virginia,5
Texas,5
Oklahoma,4
Louisiana,4
North Carolina,4
Virginia,4
Oregon,4
Florida,4
Washington,4
Pennsylvania,4
Delaware,4
Georgia,4
Rhode Island,3
Alabama,3
Vermont,3
Maryland,3
Maine,3
Connecticut,3
New Jersey,3
California,3
District of Columbia,3
New Hampshire,3
New York,2
Massachusetts,2
