Region,Harvard university
Massachusetts,100
District of Columbia,42
Rhode Island,37
New Hampshire,30
Connecticut,29
Maryland,26
New Jersey,24
New York,21
Vermont,21
Virginia,19
Illinois,19
Maine,19
Delaware,17
Texas,17
Pennsylvania,16
California,16
Georgia,15
North Carolina,15
Washington,15
Florida,15
Indiana,14
Minnesota,14
Hawaii,14
Ohio,14
Colorado,14
Oregon,14
Utah,13
Michigan,13
Nevada,12
Alabama,12
Iowa,12
Tennessee,12
Missouri,12
Arizona,12
South Carolina,12
Louisiana,11
Wisconsin,11
Oklahoma,11
Arkansas,11
Kentucky,11
Kansas,11
Wyoming,11
Mississippi,11
Montana,11
Idaho,10
Nebraska,10
New Mexico,10
Alaska,10
North Dakota,10
West Virginia,10
South Dakota,10
