Region,Idaho Potatoes
Idaho,100
Wyoming,15
Utah,14
Montana,11
Kentucky,8
Indiana,7
Arizona,7
Arkansas,7
Tennessee,7
Mississippi,7
Ohio,7
West Virginia,6
Alabama,6
Oklahoma,6
Michigan,6
Kansas,6
Nevada,6
New Mexico,6
Louisiana,6
New York,6
North Dakota,5
Illinois,5
New Jersey,5
Washington,5
South Carolina,5
Georgia,5
Wisconsin,5
Pennsylvania,5
Missouri,5
Delaware,5
Connecticut,5
South Dakota,5
Iowa,5
Nebraska,4
California,4
Oregon,4
Florida,4
Massachusetts,4
New Hampshire,4
Colorado,4
Virginia,4
North Carolina,4
Rhode Island,4
Maryland,4
Vermont,4
Alaska,4
Minnesota,4
Maine,4
Texas,3
District of Columbia,3
Hawaii,2
