Region,Jersey shore
New Jersey,100
Pennsylvania,35
New York,17
Delaware,16
Rhode Island,16
Connecticut,15
New Mexico,12
Massachusetts,12
Nevada,11
Arizona,11
New Hampshire,11
California,10
Illinois,9
Maryland,9
West Virginia,9
Ohio,9
Maine,9
Texas,8
Michigan,8
Vermont,8
Wisconsin,8
Indiana,8
Florida,8
Virginia,8
Nebraska,7
Colorado,7
North Carolina,7
Iowa,7
Oklahoma,7
South Carolina,7
Kentucky,7
Minnesota,7
Missouri,7
District of Columbia,7
Kansas,7
Oregon,6
Washington,6
Louisiana,6
North Dakota,6
Tennessee,6
South Dakota,6
Wyoming,6
Alaska,6
Hawaii,6
Utah,6
Idaho,6
Georgia,5
Montana,5
Arkansas,5
Alabama,5
Mississippi,5
