Region,Kentucky derby
Kentucky,100
Indiana,35
Delaware,33
Ohio,33
Connecticut,32
Nebraska,30
Iowa,30
Rhode Island,29
Wisconsin,29
Pennsylvania,29
New Hampshire,29
Massachusetts,29
Illinois,28
Kansas,28
Michigan,27
Maine,27
Wyoming,27
Montana,26
North Dakota,25
Minnesota,25
South Carolina,25
New Jersey,25
Florida,24
Colorado,24
Tennessee,24
Missouri,23
Vermont,23
West Virginia,23
South Dakota,22
Nevada,22
Louisiana,21
New York,21
Virginia,21
Oklahoma,20
Maryland,20
North Carolina,20
Alabama,19
New Mexico,19
Arizona,19
Georgia,18
District of Columbia,18
Arkansas,18
Idaho,18
Mississippi,17
Texas,16
Oregon,14
Washington,13
Utah,12
Alaska,11
California,10
Hawaii,7
