Region,Liberty bell
Pennsylvania,100
Massachusetts,75
Delaware,39
New Jersey,36
Maine,26
Tennessee,25
Missouri,23
Maryland,22
District of Columbia,22
Washington,20
Virginia,20
Indiana,20
New Hampshire,19
West Virginia,19
Ohio,18
South Carolina,18
Iowa,16
Idaho,16
Kansas,16
Kentucky,16
Georgia,16
New York,16
Nebraska,15
Connecticut,15
Montana,15
Arkansas,15
Wyoming,15
North Dakota,14
Arizona,14
Utah,14
Alabama,14
Mississippi,14
Texas,14
Vermont,14
Colorado,14
North Carolina,13
Florida,13
Alaska,13
Nevada,13
South Dakota,13
Oklahoma,13
California,13
Rhode Island,13
Michigan,12
Louisiana,12
Oregon,12
Illinois,12
Wisconsin,12
Minnesota,10
New Mexico,10
Hawaii,10
