Region,Maine Lobster
Maine,100
New Hampshire,9
Massachusetts,7
Vermont,6
Connecticut,4
New Jersey,4
Rhode Island,3
Pennsylvania,3
Delaware,3
New York,3
North Carolina,2
Nevada,2
Florida,2
Tennessee,2
Ohio,2
Virginia,1
South Carolina,1
Maryland,1
District of Columbia,1
California,1
Oklahoma,1
Alabama,1
Michigan,1
Georgia,1
Colorado,1
Texas,1
Hawaii,1
Wisconsin,1
Wyoming,1
Montana,1
Kansas,1
Arizona,1
Oregon,1
Illinois,1
Missouri,1
West Virginia,1
Kentucky,1
Arkansas,1
Iowa,0
Minnesota,0
Utah,0
Alaska,0
Nebraska,0
South Dakota,0
Louisiana,0
Mississippi,0
Indiana,0
Idaho,0
New Mexico,0
North Dakota,0
Washington,0
