Region,Mardi gras
Louisiana,100
Mississippi,27
Alabama,22
West Virginia,9
Missouri,8
Florida,8
Texas,7
Georgia,7
Arkansas,6
District of Columbia,6
Tennessee,6
South Carolina,6
North Carolina,5
Kentucky,5
Nevada,5
Virginia,5
Oklahoma,4
Maryland,4
Colorado,4
Indiana,4
Ohio,4
Illinois,4
Delaware,4
Kansas,4
New Mexico,4
Wisconsin,3
Michigan,3
Pennsylvania,3
Connecticut,3
Iowa,3
Maine,3
Nebraska,3
Wyoming,3
Washington,3
Vermont,3
Alaska,3
Arizona,3
New Hampshire,3
Massachusetts,3
New Jersey,3
Montana,3
New York,3
Oregon,3
Utah,3
Minnesota,3
South Dakota,3
Rhode Island,2
Idaho,2
North Dakota,2
California,2
Hawaii,2
