Region,Mormon
Utah,100
Idaho,39
Wyoming,27
Arizona,15
Montana,13
Nevada,13
Alaska,11
Washington,11
Colorado,10
Oregon,10
Hawaii,10
New Mexico,9
District of Columbia,9
Nebraska,9
Missouri,8
Iowa,8
Kansas,7
California,7
Oklahoma,6
North Dakota,6
South Dakota,6
Virginia,6
Arkansas,6
Maryland,6
Minnesota,6
Vermont,5
New York,5
Texas,5
Wisconsin,5
Tennessee,5
Indiana,5
Kentucky,5
North Carolina,5
Maine,5
Connecticut,5
Massachusetts,5
West Virginia,5
Ohio,5
Pennsylvania,5
New Hampshire,5
Alabama,5
Delaware,5
Illinois,4
South Carolina,4
Michigan,4
Rhode Island,4
Louisiana,4
Georgia,4
Mississippi,4
Florida,4
New Jersey,4
