Region,Mount rushmore
South Dakota,100
Wyoming,25
North Dakota,13
Nebraska,12
Montana,10
Minnesota,8
Iowa,7
Colorado,6
Utah,6
Kansas,5
Wisconsin,5
Missouri,5
Idaho,5
Illinois,4
Oklahoma,4
Indiana,3
New Mexico,3
Ohio,3
Arizona,3
Arkansas,3
Michigan,3
Kentucky,3
Nevada,3
Texas,3
Pennsylvania,3
Delaware,3
Washington,3
West Virginia,3
New Jersey,3
Tennessee,3
Florida,3
Louisiana,3
Maryland,2
Connecticut,2
California,2
North Carolina,2
Virginia,2
Alabama,2
South Carolina,2
Mississippi,2
New Hampshire,2
Alaska,2
District of Columbia,2
Vermont,2
Georgia,2
New York,2
Maine,2
Rhode Island,2
Hawaii,2
Massachusetts,2
Oregon,2
