Region,Mrytle beach
South Carolina,100
North Carolina,38
West Virginia,23
Virginia,11
Kentucky,8
Delaware,8
Maryland,8
Georgia,8
Pennsylvania,8
Ohio,7
Tennessee,6
New Hampshire,5
Connecticut,5
Vermont,5
Indiana,4
New Jersey,4
Michigan,4
Massachusetts,4
District of Columbia,3
Rhode Island,3
Wisconsin,3
New York,3
Maine,3
Iowa,2
Illinois,2
Alabama,2
Missouri,2
Minnesota,2
Nebraska,2
Florida,2
Arkansas,1
Kansas,1
Mississippi,1
Colorado,1
Alaska,1
Oklahoma,1
South Dakota,1
Louisiana,1
North Dakota,1
Utah,1
Idaho,0
Texas,0
Arizona,0
Nevada,0
Washington,0
New Mexico,0
Montana,0
Oregon,0
California,0
Hawaii,0
Wyoming,0
