Region,Outer banks
North Carolina,100
Virginia,66
West Virginia,65
South Carolina,52
Pennsylvania,47
Maryland,45
Delaware,42
Ohio,38
Kentucky,38
Alabama,34
New Hampshire,34
New Jersey,34
Connecticut,33
Tennessee,33
Mississippi,33
Maine,33
Georgia,33
Arkansas,32
Iowa,32
Indiana,31
Vermont,31
Michigan,31
Nebraska,31
Wisconsin,31
South Dakota,30
Massachusetts,30
Minnesota,30
Rhode Island,30
Utah,29
Louisiana,29
North Dakota,29
Missouri,29
Oklahoma,26
Kansas,26
Idaho,25
Illinois,25
Wyoming,25
Florida,25
District of Columbia,25
Montana,24
Colorado,24
New York,23
Texas,19
Arizona,19
Alaska,18
Oregon,17
Washington,17
Hawaii,17
California,16
Nevada,15
New Mexico,13
