Region,Rocky Mountains
Colorado,100
Wyoming,81
Montana,56
Utah,39
New Mexico,34
South Dakota,34
Idaho,27
North Dakota,24
Nebraska,23
Texas,23
Oklahoma,22
Missouri,20
Iowa,20
Kansas,20
Indiana,19
Minnesota,19
Washington,19
Illinois,17
Tennessee,17
Virginia,17
Louisiana,17
Arkansas,16
Wisconsin,16
Nevada,16
North Carolina,15
Georgia,15
Alaska,15
Ohio,14
Kentucky,14
Mississippi,14
Arizona,14
Michigan,14
West Virginia,13
Delaware,13
Vermont,13
South Carolina,13
Pennsylvania,13
Oregon,13
Florida,13
Maine,12
California,12
New Hampshire,11
Alabama,11
Rhode Island,10
New Jersey,10
Maryland,10
Hawaii,9
Connecticut,9
Massachusetts,9
District of Columbia,9
New York,8
