Region,Roswell UFO
New Mexico,100
Arizona,5
Oklahoma,4
Texas,4
Colorado,3
Utah,3
Nevada,3
Idaho,2
Kansas,2
New Hampshire,2
Oregon,2
North Dakota,2
District of Columbia,2
Arkansas,2
West Virginia,2
Missouri,2
Maine,2
Wyoming,2
Alaska,2
Nebraska,2
Montana,2
Iowa,2
Kentucky,2
Alabama,2
Washington,2
Tennessee,2
Georgia,2
California,2
Ohio,2
Connecticut,2
Indiana,1
Louisiana,1
Mississippi,1
Pennsylvania,1
Massachusetts,1
Virginia,1
Illinois,1
Delaware,1
Minnesota,1
Wisconsin,1
Michigan,1
North Carolina,1
Florida,1
New Jersey,1
South Carolina,1
Rhode Island,1
Maryland,1
South Dakota,1
New York,1
Vermont,1
Hawaii,1
