Region,Time square
New York,100
New Jersey,54
Connecticut,43
Massachusetts,39
Rhode Island,32
Maryland,32
Florida,31
Delaware,29
Pennsylvania,29
Arizona,28
District of Columbia,27
North Carolina,27
Virginia,25
Texas,25
Nevada,25
Oklahoma,24
Georgia,23
New Hampshire,23
South Dakota,22
Vermont,22
South Carolina,22
Maine,21
Illinois,21
California,21
Indiana,20
Louisiana,20
Washington,20
Utah,20
Montana,20
Michigan,20
Tennessee,19
Ohio,19
Idaho,19
Oregon,18
Alabama,18
West Virginia,18
Colorado,17
Kentucky,17
Arkansas,17
Wisconsin,16
Hawaii,16
North Dakota,16
Wyoming,16
Missouri,16
Mississippi,16
Alaska,15
Minnesota,15
Kansas,15
New Mexico,14
Nebraska,14
Iowa,12
