Region,virginia beach
Virginia,100
West Virginia,8
Maryland,7
District of Columbia,6
North Carolina,5
Delaware,5
Pennsylvania,4
Ohio,2
South Carolina,2
New York,2
New Jersey,2
Kentucky,2
Connecticut,1
Tennessee,1
Rhode Island,1
New Hampshire,1
Florida,1
Massachusetts,1
Georgia,1
Maine,1
Vermont,1
Indiana,1
Hawaii,1
Michigan,1
Alabama,0
Mississippi,0
Illinois,0
Iowa,0
Nevada,0
Colorado,0
Missouri,0
Kansas,0
Louisiana,0
Wyoming,0
Arkansas,0
Wisconsin,0
Nebraska,0
Arizona,0
Alaska,0
Texas,0
California,0
Washington,0
Oklahoma,0
Minnesota,0
North Dakota,0
Montana,0
South Dakota,0
New Mexico,0
Utah,0
Oregon,0
Idaho,0
