Region,Walmart Headquarters
Arkansas,100
Missouri,29
Mississippi,27
Oklahoma,27
Kansas,24
Louisiana,21
Nebraska,21
Tennessee,19
Wyoming,19
Alabama,19
South Carolina,19
North Dakota,18
Georgia,18
Kentucky,18
Iowa,18
Illinois,18
District of Columbia,18
Minnesota,18
South Dakota,18
Texas,16
Wisconsin,16
Michigan,16
North Carolina,16
Indiana,16
Utah,16
Ohio,16
West Virginia,16
Delaware,14
Virginia,14
Maine,14
Montana,14
Idaho,14
Pennsylvania,13
New Mexico,13
New Jersey,13
Florida,13
Arizona,13
Colorado,13
Connecticut,13
Nevada,13
Rhode Island,13
Alaska,13
New Hampshire,11
Washington,11
Vermont,11
Maryland,11
Oregon,11
Massachusetts,9
New York,9
California,9
Hawaii,6
